generator_model,task_id,dimension,rep,manifestation_score,text_distance,ast_distance,import_jaccard,function_jaccard,recovery_mean,recovery_strict,recovery_partial,recovery_none,v0_correct,v1_correct,keyword_v0_correct,keyword_v1_correct,keyword_strict,keyword_partial,keyword_none,manipulation_confirmed
openai,rate_limiter,security,2,0.148108,0.390895,0.201536,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,security,3,0.148108,0.390895,0.201536,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,security,4,0.150229,0.399381,0.201536,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,security,5,0.148108,0.390895,0.201536,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,sanitize_filename,concurrency,1,0.042670,0.089494,0.081186,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,sanitize_filename,concurrency,2,0.132584,0.369863,0.160471,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,sanitize_filename,concurrency,3,0.132584,0.369863,0.160471,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,sanitize_filename,concurrency,4,0.132584,0.369863,0.160471,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,sanitize_filename,concurrency,5,0.042670,0.089494,0.081186,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,sanitize_filename,security,1,0.599858,0.586207,0.813226,0.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,sanitize_filename,security,2,0.599858,0.586207,0.813226,0.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,sanitize_filename,security,3,0.599858,0.586207,0.813226,0.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,sanitize_filename,security,4,0.599858,0.586207,0.813226,0.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,sanitize_filename,security,5,0.599858,0.586207,0.813226,0.000000,1.000000,0.500000,0,1,0,false,true,false,true,0,1,0,true
openai,validate_email_like,concurrency,1,0.325154,0.622266,0.678351,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,validate_email_like,concurrency,2,0.000000,0.000000,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,validate_email_like,concurrency,3,0.325154,0.622266,0.678351,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,validate_email_like,concurrency,4,0.325154,0.622266,0.678351,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,validate_email_like,concurrency,5,0.270029,0.581395,0.498719,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,validate_email_like,security,1,0.290119,0.640449,0.520028,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,validate_email_like,security,2,0.290328,0.641121,0.520193,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,validate_email_like,security,3,0.290119,0.640449,0.520028,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
openai,validate_email_like,security,4,0.277828,0.546392,0.564918,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
openai,validate_email_like,security,5,0.314097,0.642732,0.613656,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
