generator_model,task_id,dimension,rep,text_distance,ast_similarity,ast_distance,import_jaccard,function_jaccard,manifestation_score,recovery_correct,recovery_confidence,keyword_prediction,keyword_correct,structural_fingerprint_score,lock_gain,input_validation_gain,engineer_guessable,manifestation_recovery_gap,taxonomy_category
anthropic,rate_limiter,concurrency,1,0.810409,,,0.000000,0.000000,0.936803,1.000000,0.690000,,1.000000,2.000000,1.000000,0.000000,yes,-0.063197,A
anthropic,rate_limiter,concurrency,2,0.810233,,,0.000000,0.000000,0.936744,1.000000,0.690000,,1.000000,2.000000,1.000000,0.000000,yes,-0.063256,A
anthropic,rate_limiter,concurrency,3,0.590559,0.659510,0.340490,0.600000,0.500000,0.457762,1.000000,0.760000,,1.000000,8.000000,1.000000,0.000000,yes,-0.542238,A
anthropic,rate_limiter,concurrency,4,0.636444,,,0.000000,0.000000,0.878815,1.000000,0.820000,,1.000000,10.000000,1.000000,1.000000,yes,-0.121185,A
anthropic,rate_limiter,concurrency,5,0.583033,0.570850,0.429150,0.600000,0.400000,0.503046,1.000000,0.695000,,1.000000,7.000000,1.000000,0.000000,yes,-0.496954,A
anthropic,sanitize_filename,security,1,0.030953,0.992815,0.007185,1.000000,1.000000,0.009534,0.500000,0.885000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.490465,C
anthropic,sanitize_filename,security,2,0.315162,0.660258,0.339742,1.000000,1.000000,0.163726,0.500000,0.850000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.336274,A
anthropic,sanitize_filename,security,3,0.334804,0.651433,0.348567,1.000000,1.000000,0.170843,0.500000,0.885000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.329157,A
anthropic,sanitize_filename,security,4,0.597927,0.344958,0.655042,0.500000,1.000000,0.438242,0.500000,0.850000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.061758,A
anthropic,sanitize_filename,security,5,0.315162,0.659969,0.340031,1.000000,1.000000,0.163798,0.500000,0.850000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.336202,A
anthropic,sanitize_filename,concurrency,1,0.841528,0.274428,0.725572,0.500000,0.500000,0.641775,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.141775,A
anthropic,sanitize_filename,concurrency,2,0.880623,0.268044,0.731956,0.500000,0.500000,0.653145,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.153145,A
anthropic,sanitize_filename,concurrency,3,0.882513,0.285180,0.714820,0.500000,0.500000,0.649333,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,0.149333,A
anthropic,sanitize_filename,concurrency,4,0.848505,,,0.000000,0.000000,0.949502,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,0.449502,A
anthropic,sanitize_filename,concurrency,5,0.861624,0.319308,0.680692,0.500000,0.500000,0.635579,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,0.135579,A
anthropic,validate_email_like,security,1,0.415595,0.626522,0.373478,1.000000,1.000000,0.197268,0.500000,0.850000,v1,0.500000,11.000000,0.000000,0.000000,yes,-0.302732,A
